#no	Lineage_Name	found	tested	vector_species	method	country	site	Reference_Name	comment
211	EUSE1	 	 	Simulium securiforme	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
212	EUSE2	1	164	Simulium vernum	PCR, mosquitoes without blood meals	Czech Republic	Fláje Dam	Synek et al 2016	In nests of Aegolius funereus
213	EUSE2	5	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
214	EUSE2	 	 	Simulium securiforme	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
215	GAGLA03	1	149	Culex pipiens	PCR , whole mosquitoes	France	Sussargues	Zele et al 2014	 
216	GAGLA03	 	 	Culicoides circumscriptus	PCR, mosquitoes without blood meals	Spain	Donana National Park	Ferraguti et al 2013b	 
217	GAGLA06	1	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
218	GALLUS01	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
219	GALLUS01	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
220	GALLUS01	 	 	Culex pipiens	PCR , whole mosquitoes	Japan	Nihon University farm	Shirotani et al 2009	1 positive pool/276 pools tested (811 mosquitoes
221	GALLUS01	 	 	Culex quinquefasciatus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
222	GALLUS01	 	 	Armigeres subalbatus	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
223	GALLUS01	 	 	Aedes esoensis	PCR, thorax, unfed	Japan	Kushiro Zoo	Ejiri et al 2011c	 
224	GALLUS01	 	 	Culex inatomii	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
225	GALLUS01	 	 	Culex sp.	PCR , whole mosquitoes	Brazil	Mata Seca State Park	Ferreira et al 2016	1 pool postive / 43 pools tested (314 mosquitoes)
226	GALLUS02	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
227	GALLUS02	 	 	Culex tritaeniorhynchus	PCR, abdomen, blood filled	Japan	Marinepia Aquarium	Inumaru et al 2021a	 
228	GALLUS02	 	 	Culex tritaeniorhynchus	PCR, abdomen, blood filled	Japan	Marinepia	Inumaru et al 2021a	bloodfed
229	GALLUS17	3	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
230	GALLUS34	1	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
231	GALLUS35	2	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
232	GALLUS37	2	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
233	GALLUS42	1	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
234	GALLUS43	1	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
235	GALLUS44	1	 	Simulium asakoae	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
236	GALLUS45	1	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
237	GALLUS46	1	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
238	GIMIS01	1	39	Gigantodax misitu	PCR, salivary gland and mid gut	Colombia	Chingaza PNN	Lotta et al 2016	 
239	GRW04	3	533	Culex pipiens	PCR, oocysts and sporozoites	Japan	Rinshi-no-mori Park	Kim & Tsuda 2015	 
240	GRW04	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
241	GRW04	 	 	Culex pipiens	PCR, abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
242	GRW04	1	164	Culex pipiens	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
243	GRW04	 	 	Culex quinquefasciatus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
244	GRW04	1	96	Uranotaenia sp.	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
245	GRW06	 	 	Culex pipiens	PCR , whole mosquitoes	Austria	 	Schoener et al 2017	 
246	GRW06	2	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
247	GRW06	1	165	Culex pipiens	PCR , whole mosquitoes	France	Marais du Vigueirat	Zele et al 2014	 
248	GRW06	 	 	Coquillettidia aurites	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
249	GRW06	 	 	Culex annulioris	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
250	GRW09	 	 	Coquillettidia aurites	PCR, head and thorax	Cameroon	 	Njabo et al 2009	 
251	GRW09	 	 	Coquillettidia metallica	PCR, head and thorax	Cameroon	 	Njabo et al 2009	 
252	GRW09	 	 	Coquillettidia pseudoconopas	PCR, head and thorax	Cameroon	 	Njabo et al 2009	 
253	GRW09	 	 	Culex neavei	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
254	GRW09	 	 	Culex guiarti	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
255	GRW09	1	2	Anopheles mascarensis	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
256	GRW11	1	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
257	GRW11	1	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
258	GRW11	 	 	Culex pipiens	PCR, abdomen with blood meal	Japan	 	Kim et al 2009b	 
259	GRW11	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
260	GRW11	1	533	Culex pipiens	PCR, oocysts and sporozoites	Japan	Rinshi-no-mori Park	Kim & Tsuda 2015	 
261	GRW11	 	 	Culex pipiens	Experimental infection	Lithuania	 	Kazlauskiene et al 2013	 
262	GRW11	 	 	Culex pipiens	PCR, thorax, unfed	Switzerland	 	Glaizot et al 2012	 
263	GRW11	 	 	Culex pipiens	PCR, head and thorax	Switzerland	Dorigny, Lausanne	Lalubin et al 2013	 
264	GRW11	 	 	Culex quinquefasciatus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
265	HAWF2	 	 	Culicoides circumscriptus	PCR , whole mosquitoes	Bulgaria	Kalimok	Bobeva et al 2013	 
266	HAWF6	2	96	Uranotaenia sp.	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
267	HEVER01	1	39	Gigantodax misitu	PCR, salivary gland and mid gut	Colombia	Chingaza PNN	Lotta et al 2016	 
268	LAMUT01	 	 	Simulium uchidai	PCR, salivary gland and mid gut	Japan	 	Sato et al 2009	 
269	LAMUT01	 	 	Simulium japonicum	PCR, salivary gland and mid gut	Japan	 	Sato et al 2009	 
270	LAMUT01	 	 	Prosimulium hirtipes	PCR, salivary gland and mid gut	Japan	 	Sato et al 2009	 
271	LINN1	 	 	Culex pipiens	PCR , whole mosquitoes	Austria	 	Schoener et al 2017	 
272	LINN1	1	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
273	LINN1	0	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
274	LINN1	 	 	Culex pipiens	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
275	LINN1	 	 	Culex pipiens	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
276	LINN1	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
277	LINN1	 	 	Ochlerotatus caspius	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
278	LINN1	 	 	Culex modestus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
279	LINN1	1	 	Culex hortensis	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
280	LINN1	 	 	Culex perexiguus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
281	LTVOR01	 	 	Lutzia vorax	PCR , whole mosquitoes	Japan	 	Ejiri et al 2009	 
282	LZFUS01	 	 	Aedes albopictus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
283	LZFUS01	 	 	Lutzia fuscanus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
284	MANSON01	 	 	Mansonia sp. 1 BR-2012	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
285	MANSON02	 	 	Mansonia uniformis	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
286	MATIT01	 	 	Mansonia titillans	PCR , whole mosquitoes	Brazil	Mata Seca State Park	Ferreira et al 2016	1 pool postive / 459 pools tested (4336 mosquitoes)
287	MICRO01	 	 	Microlynchia galapagoensis	PCR, thorax, absence of host DNA	Ecuador	 	Valkiunas et al 2010b	 
288	MICRO02	 	 	Microlynchia galapagoensis	PCR, thorax, absence of host DNA	Ecuador	 	Valkiunas et al 2010b	 
289	MILANS04	2	35	Simulium angustipes	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
290	MILANS05	 	 	Culex neavei	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
291	MTUR2	1	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
292	MYISWA01	 	 	Mansonia sp.	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
293	NEVE01	3	164	Simulium vernum	PCR, mosquitoes without blood meals	Czech Republic	Fláje Dam	Synek et al 2016	In nests of Aegolius funereus
294	NEVE01	4	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
295	NYCNYC01	 	 	Mansonia titillans	PCR , whole mosquitoes	Brazil	Mata Seca State Park	Ferreira et al 2016	1 pool postive / 459 pools tested (4336 mosquitoes)
296	PADOM01	1	149	Culex pipiens	PCR , whole mosquitoes	France	Sussargues	Zele et al 2014	 
297	PADOM01	2	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
298	PADOM01	4	299	Culex pipiens	PCR , whole mosquitoes	France	Mejanes	Zele et al 2014	 
299	PADOM01	 	 	Culex pipiens	PCR, head and thorax	Switzerland	Dorigny, Lausanne	Lalubin et al 2013	 
300	PADOM02	 	 	Aedes albopictus	PCR, abdomen, blood filled	Japan	Tsushima Wildlife Conservation Center	Tanigawa et al 2013	1 positive/ 93 collected (pool number unknown)
301	PADOM02	 	 	Aedes albopictus	PCR, abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
302	PADOM02	 	 	Culex pipiens	PCR , whole mosquitoes	Japan	 	Ejiri et al 2009	 
303	PADOM02	 	 	Culex pipiens	PCR, abdomen with blood meal	Japan	 	Kim et al 2009b	 
304	PADOM02	 	 	Culex pipiens	PCR, mosquitoes without blood meals	Japan	 	Kim et al 2009b	 
305	PADOM02	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
306	PADOM02	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Ueno Zoological Gardens Tokyo	Ejiri et al 2011a	 
307	PADOM02	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
308	PADOM02	 	 	Culex pipiens	PCR , whole mosquitoes	Japan	Nihon University farm	Shirotani et al 2009	1 positive pool/276 pools tested (811 mosquitoes
309	PADOM02	 	 	Culex pipiens	PCR, head-thorax/abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
310	PADOM02	 	 	Culex pipiens	PCR, abdomen, blood filled	Japan	Marinepia Aquarium	Inumaru et al 2021a	 
311	PADOM02	 	 	Culex pipiens	PCR, abdomen, blood filled	Japan	Marinepia	Inumaru et al 2021a	bloodfed
312	PADOM02	 	 	Culex pipiens	PCR, thorax, unfed	Switzerland	 	Glaizot et al 2012	 
313	PADOM02	 	 	Culex pipiens	PCR, head and thorax	Switzerland	Dorigny, Lausanne	Lalubin et al 2013	 
314	PADOM02	 	 	Tripteroides bambusa	PCR, abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
315	PADOM02	 	 	Culex bitaeniorhynchus	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
316	PADOM02	 	 	Culex inatomii	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
317	PADOM02	 	 	Lutzia vorax	PCR , whole mosquitoes	Japan	 	Ejiri et al 2009	 
318	PADOM03	2	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
319	PADOM05	 	 	Culex pipiens	PCR, head and thorax	Turkey	 	Inci et al 2012	 
320	PADOM05	 	 	Culex modestus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
321	PADOM05	 	 	Culex perexiguus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
322	PADOM11	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
323	PAHIS1	 	 	Aedes vexans	PCR, head and thorax	Turkey	 	Inci et al 2012	 
324	PARUS1	 	 	Culicoides impunctatus	Experimental infection	Russia	Curonian Spit	Ziegyte et al 2017	Completed development, indoor experiment
325	PARUS18	1	18	Simulium rubzovianum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
326	PARUS20	1	1	Simulium petricolum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
327	PARUS25	1	164	Simulium vernum	PCR, mosquitoes without blood meals	Czech Republic	Fláje Dam	Synek et al 2016	In nests of Aegolius funereus
328	PARUS4	1	164	Simulium vernum	PCR, mosquitoes without blood meals	Czech Republic	Fláje Dam	Synek et al 2016	In nests of Aegolius funereus
329	PFC1	 	 	Culicoides impunctatus	Experimental infection	Russia	Curonian Spit	Ziegyte et al 2017	Completed development, indoor experiment
330	PSDIS01	 	 	Psorophora discrucians	PCR , whole mosquitoes	Brazil	Mata Seca State Park	Ferreira et al 2016	1 pool postive / 173 pools tested (1435 mosquitoes)
331	RBQ03	 	 	Ochlerotatus caspius	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
332	ROFI1	 	 	Culicoides segnis	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
333	SANG01	1	35	Simulium angustipes	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
334	SANG02	3	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
335	SANG02	1	35	Simulium angustipes	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
336	SEIAUR01	 	 	Culex pipiens	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
337	SEIAUR01	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
338	SEIAUR01	 	 	Aedes canadensis	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
339	SFC9	 	 	Culicoides impunctatus	Experimental infection	Russia	Curonian Spit	Ziegyte et al 2017	Completed development, indoor experiment
340	SGS1	 	 	Aedes albopictus	PCR, abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
341	SGS1	 	 	Culex pipiens	PCR , whole mosquitoes	Austria	 	Schoener et al 2017	 
342	SGS1	 	 	Culex pipiens	PCR , whole mosquitoes	Austria	 	Schoener et al 2017	 
343	SGS1	8	149	Culex pipiens	PCR , whole mosquitoes	France	Sussargues	Zele et al 2014	 
344	SGS1	22	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
345	SGS1	5	299	Culex pipiens	PCR , whole mosquitoes	France	Mejanes	Zele et al 2014	 
346	SGS1	9	165	Culex pipiens	PCR , whole mosquitoes	France	Marais du Vigueirat	Zele et al 2014	 
347	SGS1	9	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
348	SGS1	 	 	Culex pipiens	PCR, mosquitoes without blood meals	Japan	 	Kim et al 2009b	 
349	SGS1	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
350	SGS1	5	533	Culex pipiens	PCR, oocysts and sporozoites	Japan	Rinshi-no-mori Park	Kim & Tsuda 2015	 
351	SGS1	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Ueno Zoological Gardens Tokyo	Ejiri et al 2011a	 
352	SGS1	 	 	Culex pipiens	PCR, head-thorax/abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
353	SGS1	 	 	Culex pipiens	Experimental infection	Lithuania	 	Kazlauskiene et al 2013	 
354	SGS1	 	 	Culex pipiens	PCR, mosquitoes without blood meals	Portugal	Santo André	Ventim et al 2012c	 
355	SGS1	 	 	Culex pipiens	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
356	SGS1	 	 	Culex pipiens	PCR, thorax, unfed	Switzerland	 	Glaizot et al 2012	 
357	SGS1	 	 	Culex pipiens	PCR, head and thorax	Switzerland	Dorigny, Lausanne	Lalubin et al 2013	 
358	SGS1	 	 	Culex pipiens	PCR, head and thorax	Turkey	 	Inci et al 2012	 
359	SGS1	 	 	Culiseta annulata	PCR, head and thorax	Turkey	 	Inci et al 2012	 
360	SGS1	 	 	Culex modestus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
361	SGS1	 	 	Culex theileri	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
362	SGS1	 	 	Culex sasai	PCR, abdomen with blood meal	Japan	 	Kim et al 2009a	 
363	SGS1	 	 	Lutzia vorax	PCR , whole mosquitoes	Japan	 	Ejiri et al 2009	 
364	SGS1	 	 	Culex perexiguus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
365	SIBIC01	1	266	Simulium bicolotatum	PCR, salivary gland and mid gut	Colombia	Chingaza PNN	Lotta et al 2016	 
366	SIMUI01	1	190	Simulium muiscorum	PCR, salivary gland and mid gut	Colombia	Chingaza PNN	Lotta et al 2016	 
367	SIMUL01	 	 	Simulium lineatum	PCR , whole mosquitoes	Turkey	 	Inci et al	 
368	SISKIN1	 	 	Culicoides nubeculosus	Experimental infection	Lithuania	Vilnius	Ziegyte et al 2016	Completed development, indoor experiment
369	SPHUM05	 	 	Culex pipiens	PCR, thorax, blood filled	Japan	Marinepia Aquarium	Inumaru et al 2021a	 
370	SPHUM05	 	 	Culex pipiens	PCR, thorax, blood filled	Japan	Marinepia	Inumaru et al 2021a	bloodfed; from head-thorax only
371	SPMAG10	 	 	Culex pipiens	PCR, abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
372	SPMEN03	 	 	Ochlerotatus taeniorhynchus	PCR, head and thorax	Mexico	Socorro Island	Carlson et al 2011	 
373	STAL1	1	18	Simulium rubzovianum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
374	STOCC13	1	 	Simulium exulatum	PCR , whole mosquitoes	United States	Gothic	Murdock et al 2015	Number found = positive pools of 5 blackflies
375	STUR1	2	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
376	STUR1	 	 	Simulium securiforme	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
377	STUR1	2	18	Simulium rubzovianum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
378	SW2	 	 	Culex pipiens	PCR, thorax, unfed	Switzerland	 	Glaizot et al 2012	 
379	SYAT01	 	 	Culicoides kibunensis	PCR, thorax, unfed	Germany	Mooswald Forest	Santiago-Alarcon et al 2013	 
380	SYAT05	1	 	Aedes albopictus	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
381	SYAT05	 	 	Culex pipiens	PCR , whole mosquitoes	Austria	 	Schoener et al 2017	 
382	SYAT05	 	 	Culex pipiens	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
383	SYAT05	2	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
384	SYAT05	1	299	Culex pipiens	PCR , whole mosquitoes	France	Mejanes	Zele et al 2014	 
385	SYAT05	46	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
386	SYAT05	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
387	SYAT05	 	 	Culex pipiens	PCR, thorax, unfed	Switzerland	 	Glaizot et al 2012	 
388	SYAT05	 	 	Culex pipiens	PCR, head and thorax	Switzerland	Dorigny, Lausanne	Lalubin et al 2013	 
389	SYAT05	 	 	Culex pipiens	PCR, head and thorax	Turkey	 	Inci et al 2012	 
390	SYAT05	 	 	Culex pipiens	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
391	SYAT05	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
392	SYAT05	 	 	Culex modestus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
393	SYAT05	 	 	Culex theileri	PCR, mosquitoes without blood meals	Portugal	Taipal	Ventim et al 2012c	 
394	SYAT05	 	 	Culex theileri	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
395	SYAT05	 	 	Culex perexiguus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
396	SYBOR01	 	 	Culex theileri	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
397	SYBOR01	 	 	Culex perexiguus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
398	SYBOR02	 	 	Culex inatomii	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
399	SYCON02	 	 	Culex pipiens	PCR, head and thorax	Japan	Nihon University farm	Odagawa et al unpubl	 
400	TABI09	1	 	Simulium silvestre	PCR , whole mosquitoes	United States	Gothic	Murdock et al 2015	Number found = positive pools of 5 blackflies
401	TUMIG03	 	 	Culex pipiens	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
402	TUMIG03	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
403	TUMIG03	 	 	Mansonia pseudotitillans	PCR , whole mosquitoes	Brazil	Mata Seca State Park	Ferreira et al 2016	1 pool postive / 29 pools tested (224 mosquitoes)
404	TUPHI01	 	 	Culicoides kibunensis	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
405	TUPHI01	 	 	Culicoides kibunensis	PCR, thorax, unfed	Germany	Mooswald Forest	Santiago-Alarcon et al 2013	 
406	TUPHI01	 	 	Culicoides pictipennis	PCR, thorax, unfed	Germany	Mooswald Forest	Santiago-Alarcon et al 2013	 
407	TUPHI01	 	 	Culicoides segnis	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
408	TUPHI01	2	36	Culicoides sp.	PCR, mosquitoes without blood meals	Czech Republic	Fláje Dam	Synek et al 2016	In nests of Aegolius funereus
409	TUPHI05	 	 	Culex pipiens	PCR , whole mosquitoes	Austria	 	Schoener et al 2017	 
410	TURDUS1	 	 	Culex pipiens	PCR, thorax, unfed	Switzerland	 	Glaizot et al 2012	 
411	TURDUS2	 	 	Culex pipiens	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
412	TURDUS2	4	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
413	TURDUS2	 	 	Culicoides festivipennis	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
414	TURDUS2	 	 	Culicoides kibunensis	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
415	TURDUS2	 	 	Culicoides pictipennis	PCR , whole mosquitoes	Bulgaria	Kalimok	Bobeva et al 2013	 
416	URANO01	1	45	Uranotaenia alboabdominalis	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
417	URANO02	1	96	Uranotaenia sp.	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
418	URANO03	1	45	Uranotaenia alboabdominalis	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
419	URANO04	1	96	Uranotaenia sp.	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
420	VIGIL02	2	 	Simulium silvestre	PCR , whole mosquitoes	United States	Gothic	Murdock et al 2015	Number found = positive pools of 5 blackflies
421	VIOLI03	 	 	Culex nigripalpus	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
422	WW1	3	164	Culex pipiens	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
423	WW1	1	5	Culex annulioris	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
424	YWT1	 	 	Culicoides impunctatus	Experimental infection	Russia	Curonian Spit	Ziegyte et al 2017	Completed development, indoor experiment
425	ZEGAL05	 	 	Microlynchia galapagoensis	PCR, thorax, absence of host DNA	Ecuador	 	Valkiunas et al 2010b	 
426	ZOCAP03	 	 	Culex pipiens	PCR, abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
427	ZOLEU02	1	 	Simulium silvestre	PCR , whole mosquitoes	United States	Gothic	Murdock et al 2015	Number found = positive pools of 5 blackflies
